('Voo Air France 358', 1621009936, 'https://www.dailymotion.com/video/x80k5vb', 61148283, 61148312, 0, '', 'Lucasoliveira653', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Voo_Air_France_358', 'request_id': 'e264a000-7324-490f-89ad-67064b9deaff', 'id': '743d7b6e-2b64-497f-af78-36beeb91acb7', 'dt': '2021-05-14T16:32:16Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180728557}, 'id': 105724947, 'type': 'edit', 'namespace': 0, 'title': 'Voo Air France 358', 'comment': '', 'timestamp': 1621009936, 'user': 'Lucasoliveira653', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 6862, 'new': 7057}, 'revision': {'old': 61148283, 'new': 61148312}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'https://www.dailymotion.com/video/x80k5vb'})
('Mortugaba', 1621010302, 'https://politica.estadao.com.br/eleicoes/2020/candidatos/ba/mortugaba|título=Candidatos', 60072285, 61148337, 0, 'Novo prefeito eleito', 'Luiz79', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Mortugaba', 'request_id': '2dda3a1d-adbf-4de0-a8d6-0f39f79b94e8', 'id': '0e821c85-74aa-4e26-85fe-13707c00e19f', 'dt': '2021-05-14T16:38:22Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180739824}, 'id': 105725008, 'type': 'edit', 'namespace': 0, 'title': 'Mortugaba', 'comment': 'Novo prefeito eleito', 'timestamp': 1621010302, 'user': 'Luiz79', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 5801, 'new': 6014}, 'revision': {'old': 60072285, 'new': 61148337}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': 'Novo prefeito eleito', 'url': 'https://politica.estadao.com.br/eleicoes/2020/candidatos/ba/mortugaba|título=Candidatos'})
('Janete Capiberibe', 1621010329, 'http://www.alcilenecavalcante.com.br/alcilene/e-hoje-deputada-mais-votada-nas-ultimas-eleicoes-janete-capiberibe-sera-diplomada-hoje-pelo-tre-do-amapa', 60005417, 61148342, 0, '', 'Perci Hong', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Janete_Capiberibe', 'request_id': '31131903-d9a7-4c91-a7fd-df0a6d70eaa8', 'id': '4367f470-8763-4e23-b40a-26f2ea03014b', 'dt': '2021-05-14T16:38:49Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180740627}, 'id': 105725030, 'type': 'edit', 'namespace': 0, 'title': 'Janete Capiberibe', 'comment': '', 'timestamp': 1621010329, 'user': 'Perci Hong', 'bot': False, 'minor': True, 'patrolled': False, 'length': {'old': 14818, 'new': 14785}, 'revision': {'old': 60005417, 'new': 61148342}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'http://www.alcilenecavalcante.com.br/alcilene/e-hoje-deputada-mais-votada-nas-ultimas-eleicoes-janete-capiberibe-sera-diplomada-hoje-pelo-tre-do-amapa'})
('Janete Capiberibe', 1621010329, 'http://www.conjur.com.br/2004-set-13/stf_decidir_futuro_politico_casal_capiberibe', 60005417, 61148342, 0, '', 'Perci Hong', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Janete_Capiberibe', 'request_id': '31131903-d9a7-4c91-a7fd-df0a6d70eaa8', 'id': '4367f470-8763-4e23-b40a-26f2ea03014b', 'dt': '2021-05-14T16:38:49Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180740627}, 'id': 105725030, 'type': 'edit', 'namespace': 0, 'title': 'Janete Capiberibe', 'comment': '', 'timestamp': 1621010329, 'user': 'Perci Hong', 'bot': False, 'minor': True, 'patrolled': False, 'length': {'old': 14818, 'new': 14785}, 'revision': {'old': 60005417, 'new': 61148342}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'http://www.conjur.com.br/2004-set-13/stf_decidir_futuro_politico_casal_capiberibe'})
('Ternium Brasil', 1621010334, 'https://www.infomoney.com.br/mercados/ex-diretor-da-usiminas-marcelo-chara-sera-o-novo-presidente-da-csa/', 61147165, 61148343, 0, '', 'Bernardo.fm', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Ternium_Brasil', 'request_id': '8e21d4c5-8974-4001-bb1e-c9ade1bca2c2', 'id': '102736c5-77b7-4a00-bec1-a46e1ffa1cc7', 'dt': '2021-05-14T16:38:54Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180740685}, 'id': 105725032, 'type': 'edit', 'namespace': 0, 'title': 'Ternium Brasil', 'comment': '', 'timestamp': 1621010334, 'user': 'Bernardo.fm', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 6515, 'new': 11650}, 'revision': {'old': 61147165, 'new': 61148343}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'https://www.infomoney.com.br/mercados/ex-diretor-da-usiminas-marcelo-chara-sera-o-novo-presidente-da-csa/'})
('Ternium Brasil', 1621010334, 'http://br.ternium.com/pb/', 61147165, 61148343, 0, '', 'Bernardo.fm', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Ternium_Brasil', 'request_id': '8e21d4c5-8974-4001-bb1e-c9ade1bca2c2', 'id': '102736c5-77b7-4a00-bec1-a46e1ffa1cc7', 'dt': '2021-05-14T16:38:54Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180740685}, 'id': 105725032, 'type': 'edit', 'namespace': 0, 'title': 'Ternium Brasil', 'comment': '', 'timestamp': 1621010334, 'user': 'Bernardo.fm', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 6515, 'new': 11650}, 'revision': {'old': 61147165, 'new': 61148343}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'http://br.ternium.com/pb/'})
('Ternium Brasil', 1621010334, 'http://www.estadao.com.br/estadaodehoje/20100523/not_imp555299,0.php|titulo=CSA', 61147165, 61148343, 0, '', 'Bernardo.fm', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Ternium_Brasil', 'request_id': '8e21d4c5-8974-4001-bb1e-c9ade1bca2c2', 'id': '102736c5-77b7-4a00-bec1-a46e1ffa1cc7', 'dt': '2021-05-14T16:38:54Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180740685}, 'id': 105725032, 'type': 'edit', 'namespace': 0, 'title': 'Ternium Brasil', 'comment': '', 'timestamp': 1621010334, 'user': 'Bernardo.fm', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 6515, 'new': 11650}, 'revision': {'old': 61147165, 'new': 61148343}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'http://www.estadao.com.br/estadaodehoje/20100523/not_imp555299,0.php|titulo=CSA'})
('Ternium Brasil', 1621010334, 'https://oglobo.globo.com/economia/ternium-compra-100-da-siderurgica-csa-da-thyssenkrupp-20961385', 61147165, 61148343, 0, '', 'Bernardo.fm', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Ternium_Brasil', 'request_id': '8e21d4c5-8974-4001-bb1e-c9ade1bca2c2', 'id': '102736c5-77b7-4a00-bec1-a46e1ffa1cc7', 'dt': '2021-05-14T16:38:54Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180740685}, 'id': 105725032, 'type': 'edit', 'namespace': 0, 'title': 'Ternium Brasil', 'comment': '', 'timestamp': 1621010334, 'user': 'Bernardo.fm', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 6515, 'new': 11650}, 'revision': {'old': 61147165, 'new': 61148343}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'https://oglobo.globo.com/economia/ternium-compra-100-da-siderurgica-csa-da-thyssenkrupp-20961385'})
('Ternium Brasil', 1621010334, 'http://journals.openedition.org/espacoeconomia/16851', 61147165, 61148343, 0, '', 'Bernardo.fm', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Ternium_Brasil', 'request_id': '8e21d4c5-8974-4001-bb1e-c9ade1bca2c2', 'id': '102736c5-77b7-4a00-bec1-a46e1ffa1cc7', 'dt': '2021-05-14T16:38:54Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180740685}, 'id': 105725032, 'type': 'edit', 'namespace': 0, 'title': 'Ternium Brasil', 'comment': '', 'timestamp': 1621010334, 'user': 'Bernardo.fm', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 6515, 'new': 11650}, 'revision': {'old': 61147165, 'new': 61148343}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'http://journals.openedition.org/espacoeconomia/16851'})
('Ternium Brasil', 1621010334, 'https://www.bndes.gov.br/wps/portal/site/home/imprensa/noticias/conteudo/20070620_not141_07', 61147165, 61148343, 0, '', 'Bernardo.fm', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Ternium_Brasil', 'request_id': '8e21d4c5-8974-4001-bb1e-c9ade1bca2c2', 'id': '102736c5-77b7-4a00-bec1-a46e1ffa1cc7', 'dt': '2021-05-14T16:38:54Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180740685}, 'id': 105725032, 'type': 'edit', 'namespace': 0, 'title': 'Ternium Brasil', 'comment': '', 'timestamp': 1621010334, 'user': 'Bernardo.fm', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 6515, 'new': 11650}, 'revision': {'old': 61147165, 'new': 61148343}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'https://www.bndes.gov.br/wps/portal/site/home/imprensa/noticias/conteudo/20070620_not141_07'})
('Ternium Brasil', 1621010334, 'http://g1.globo.com/politica/noticia/2010/06/lula-chega-ao-rio-para-inauguracao-da-csa.html', 61147165, 61148343, 0, '', 'Bernardo.fm', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Ternium_Brasil', 'request_id': '8e21d4c5-8974-4001-bb1e-c9ade1bca2c2', 'id': '102736c5-77b7-4a00-bec1-a46e1ffa1cc7', 'dt': '2021-05-14T16:38:54Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180740685}, 'id': 105725032, 'type': 'edit', 'namespace': 0, 'title': 'Ternium Brasil', 'comment': '', 'timestamp': 1621010334, 'user': 'Bernardo.fm', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 6515, 'new': 11650}, 'revision': {'old': 61147165, 'new': 61148343}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'http://g1.globo.com/politica/noticia/2010/06/lula-chega-ao-rio-para-inauguracao-da-csa.html'})
