('Voo Air France 358', 1621009936, 'https://www.dailymotion.com/video/x80k5vb', 61148283, 61148312, 0, '', 'Lucasoliveira653', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Voo_Air_France_358', 'request_id': 'e264a000-7324-490f-89ad-67064b9deaff', 'id': '743d7b6e-2b64-497f-af78-36beeb91acb7', 'dt': '2021-05-14T16:32:16Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180728557}, 'id': 105724947, 'type': 'edit', 'namespace': 0, 'title': 'Voo Air France 358', 'comment': '', 'timestamp': 1621009936, 'user': 'Lucasoliveira653', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 6862, 'new': 7057}, 'revision': {'old': 61148283, 'new': 61148312}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'https://www.dailymotion.com/video/x80k5vb'})
('Ternium Brasil', 1621010334, 'www.rj.gov.br|lingua=pt-br', 61147165, 61148343, 0, '', 'Bernardo.fm', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Ternium_Brasil', 'request_id': '8e21d4c5-8974-4001-bb1e-c9ade1bca2c2', 'id': '102736c5-77b7-4a00-bec1-a46e1ffa1cc7', 'dt': '2021-05-14T16:38:54Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180740685}, 'id': 105725032, 'type': 'edit', 'namespace': 0, 'title': 'Ternium Brasil', 'comment': '', 'timestamp': 1621010334, 'user': 'Bernardo.fm', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 6515, 'new': 11650}, 'revision': {'old': 61147165, 'new': 61148343}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'www.rj.gov.br|lingua=pt-br'})
('Ternium Brasil', 1621010334, 'https://www.dw.com/pt-br/not%C3%ADcias/s-7111', 61147165, 61148343, 0, '', 'Bernardo.fm', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Ternium_Brasil', 'request_id': '8e21d4c5-8974-4001-bb1e-c9ade1bca2c2', 'id': '102736c5-77b7-4a00-bec1-a46e1ffa1cc7', 'dt': '2021-05-14T16:38:54Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180740685}, 'id': 105725032, 'type': 'edit', 'namespace': 0, 'title': 'Ternium Brasil', 'comment': '', 'timestamp': 1621010334, 'user': 'Bernardo.fm', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 6515, 'new': 11650}, 'revision': {'old': 61147165, 'new': 61148343}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'https://www.dw.com/pt-br/not%C3%ADcias/s-7111'})
('Ternium Brasil', 1621010334, 'https://oglobo.globo.com/economia/ternium-conclui-aquisicao-da-csa-siderurgica-muda-de-nome-21797404|jornal=[[O', 61147165, 61148343, 0, '', 'Bernardo.fm', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Ternium_Brasil', 'request_id': '8e21d4c5-8974-4001-bb1e-c9ade1bca2c2', 'id': '102736c5-77b7-4a00-bec1-a46e1ffa1cc7', 'dt': '2021-05-14T16:38:54Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180740685}, 'id': 105725032, 'type': 'edit', 'namespace': 0, 'title': 'Ternium Brasil', 'comment': '', 'timestamp': 1621010334, 'user': 'Bernardo.fm', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 6515, 'new': 11650}, 'revision': {'old': 61147165, 'new': 61148343}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'https://oglobo.globo.com/economia/ternium-conclui-aquisicao-da-csa-siderurgica-muda-de-nome-21797404|jornal=[[O'})
('Ternium Brasil', 1621010334, 'https://diplomatique.org.br/a-realidade-por-tras-da-ternium-brasil/', 61147165, 61148343, 0, '', 'Bernardo.fm', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Ternium_Brasil', 'request_id': '8e21d4c5-8974-4001-bb1e-c9ade1bca2c2', 'id': '102736c5-77b7-4a00-bec1-a46e1ffa1cc7', 'dt': '2021-05-14T16:38:54Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180740685}, 'id': 105725032, 'type': 'edit', 'namespace': 0, 'title': 'Ternium Brasil', 'comment': '', 'timestamp': 1621010334, 'user': 'Bernardo.fm', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 6515, 'new': 11650}, 'revision': {'old': 61147165, 'new': 61148343}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'https://diplomatique.org.br/a-realidade-por-tras-da-ternium-brasil/'})
('Voo Air France 358', 1621010403, 'https://www.dailymotion.com/video/x80k5vb', 61148349, 61148351, 0, 'Desfeita a edição [[Special:Diff/61148349|61148349]] de [[Special:Contribs/DarkWerewolf|DarkWerewolf]]Reversão errada, fontes foram citadas', 'DarkWerewolf', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Voo_Air_France_358', 'request_id': '6eb6ea62-4161-45a2-9748-97d3ae968159', 'id': '3fa57d30-eca2-4e4e-a953-497581a5ff9e', 'dt': '2021-05-14T16:40:03Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180742839}, 'id': 105725062, 'type': 'edit', 'namespace': 0, 'title': 'Voo Air France 358', 'comment': 'Desfeita a edição [[Special:Diff/61148349|61148349]] de [[Special:Contribs/DarkWerewolf|DarkWerewolf]]Reversão errada, fontes foram citadas', 'timestamp': 1621010403, 'user': 'DarkWerewolf', 'bot': False, 'minor': True, 'patrolled': True, 'length': {'old': 6451, 'new': 7057}, 'revision': {'old': 61148349, 'new': 61148351}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': 'Desfeita a edição <a href="/wiki/Especial:Diferen%C3%A7as_entre_edi%C3%A7%C3%B5es/61148349" title="Especial:Diferenças entre edições/61148349">61148349</a> de <a href="/wiki/Especial:Contribui%C3%A7%C3%B5es/DarkWerewolf" title="Especial:Contribuições/DarkWerewolf">DarkWerewolf</a>Reversão errada, fontes foram citadas', 'url': 'https://www.dailymotion.com/video/x80k5vb'})
('Santana do Garambéu', 1621010418, 'http://www.descubraminas.com.br/Upload/Biblioteca/0000377.pdf', 60116125, 61148352, 0, 'História', 'Gabriel Ângelo de Oliveira', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Santana_do_Garamb%C3%A9u', 'request_id': '4d31d7a0-aae8-46e9-a3d3-5874acbb3784', 'id': '5c3a73c0-58b9-4bf8-afc8-eabd743678e0', 'dt': '2021-05-14T16:40:18Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180743354}, 'id': 105725066, 'type': 'edit', 'namespace': 0, 'title': 'Santana do Garambéu', 'comment': 'História', 'timestamp': 1621010418, 'user': 'Gabriel Ângelo de Oliveira', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 5485, 'new': 7676}, 'revision': {'old': 60116125, 'new': 61148352}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': 'História', 'url': 'http://www.descubraminas.com.br/Upload/Biblioteca/0000377.pdf'})
('Santana do Garambéu', 1621010418, 'http://www.buscacep.correios.com.br/sistemas/buscacep/buscaFaixaCep.cfm', 60116125, 61148352, 0, 'História', 'Gabriel Ângelo de Oliveira', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Santana_do_Garamb%C3%A9u', 'request_id': '4d31d7a0-aae8-46e9-a3d3-5874acbb3784', 'id': '5c3a73c0-58b9-4bf8-afc8-eabd743678e0', 'dt': '2021-05-14T16:40:18Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180743354}, 'id': 105725066, 'type': 'edit', 'namespace': 0, 'title': 'Santana do Garambéu', 'comment': 'História', 'timestamp': 1621010418, 'user': 'Gabriel Ângelo de Oliveira', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 5485, 'new': 7676}, 'revision': {'old': 60116125, 'new': 61148352}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': 'História', 'url': 'http://www.buscacep.correios.com.br/sistemas/buscacep/buscaFaixaCep.cfm'})
('Santana do Garambéu', 1621010418, 'geoftp.ibge.gov.br/Organizacao/Divisao_Territorial/2008/DTB_2008.zip', 60116125, 61148352, 0, 'História', 'Gabriel Ângelo de Oliveira', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Santana_do_Garamb%C3%A9u', 'request_id': '4d31d7a0-aae8-46e9-a3d3-5874acbb3784', 'id': '5c3a73c0-58b9-4bf8-afc8-eabd743678e0', 'dt': '2021-05-14T16:40:18Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180743354}, 'id': 105725066, 'type': 'edit', 'namespace': 0, 'title': 'Santana do Garambéu', 'comment': 'História', 'timestamp': 1621010418, 'user': 'Gabriel Ângelo de Oliveira', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 5485, 'new': 7676}, 'revision': {'old': 60116125, 'new': 61148352}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': 'História', 'url': 'geoftp.ibge.gov.br/Organizacao/Divisao_Territorial/2008/DTB_2008.zip'})
('Santana do Garambéu', 1621010418, 'http://www.ibge.gov.br/home/geociencias/cartografia/default_territ_area.shtm', 60116125, 61148352, 0, 'História', 'Gabriel Ângelo de Oliveira', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Santana_do_Garamb%C3%A9u', 'request_id': '4d31d7a0-aae8-46e9-a3d3-5874acbb3784', 'id': '5c3a73c0-58b9-4bf8-afc8-eabd743678e0', 'dt': '2021-05-14T16:40:18Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180743354}, 'id': 105725066, 'type': 'edit', 'namespace': 0, 'title': 'Santana do Garambéu', 'comment': 'História', 'timestamp': 1621010418, 'user': 'Gabriel Ângelo de Oliveira', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 5485, 'new': 7676}, 'revision': {'old': 60116125, 'new': 61148352}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': 'História', 'url': 'http://www.ibge.gov.br/home/geociencias/cartografia/default_territ_area.shtm'})
('Santana do Garambéu', 1621010418, 'http://www.ibge.gov.br/home/estatistica/populacao/censo2010/populacao_por_municipio.shtm', 60116125, 61148352, 0, 'História', 'Gabriel Ângelo de Oliveira', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Santana_do_Garamb%C3%A9u', 'request_id': '4d31d7a0-aae8-46e9-a3d3-5874acbb3784', 'id': '5c3a73c0-58b9-4bf8-afc8-eabd743678e0', 'dt': '2021-05-14T16:40:18Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180743354}, 'id': 105725066, 'type': 'edit', 'namespace': 0, 'title': 'Santana do Garambéu', 'comment': 'História', 'timestamp': 1621010418, 'user': 'Gabriel Ângelo de Oliveira', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 5485, 'new': 7676}, 'revision': {'old': 60116125, 'new': 61148352}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': 'História', 'url': 'http://www.ibge.gov.br/home/estatistica/populacao/censo2010/populacao_por_municipio.shtm'})
('Santana do Garambéu', 1621010418, 'http://www.uniregistro.com.br/cidades-do-brasil/minasgerais/santanadogarambeu/', 60116125, 61148352, 0, 'História', 'Gabriel Ângelo de Oliveira', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Santana_do_Garamb%C3%A9u', 'request_id': '4d31d7a0-aae8-46e9-a3d3-5874acbb3784', 'id': '5c3a73c0-58b9-4bf8-afc8-eabd743678e0', 'dt': '2021-05-14T16:40:18Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180743354}, 'id': 105725066, 'type': 'edit', 'namespace': 0, 'title': 'Santana do Garambéu', 'comment': 'História', 'timestamp': 1621010418, 'user': 'Gabriel Ângelo de Oliveira', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 5485, 'new': 7676}, 'revision': {'old': 60116125, 'new': 61148352}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': 'História', 'url': 'http://www.uniregistro.com.br/cidades-do-brasil/minasgerais/santanadogarambeu/'})
('Santana do Garambéu', 1621010418, 'http://www.pnud.org.br/atlas/ranking/IDH-M%2091%2000%20Ranking%20decrescente%20(pelos%20dados%20de%202000).htm', 60116125, 61148352, 0, 'História', 'Gabriel Ângelo de Oliveira', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Santana_do_Garamb%C3%A9u', 'request_id': '4d31d7a0-aae8-46e9-a3d3-5874acbb3784', 'id': '5c3a73c0-58b9-4bf8-afc8-eabd743678e0', 'dt': '2021-05-14T16:40:18Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180743354}, 'id': 105725066, 'type': 'edit', 'namespace': 0, 'title': 'Santana do Garambéu', 'comment': 'História', 'timestamp': 1621010418, 'user': 'Gabriel Ângelo de Oliveira', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 5485, 'new': 7676}, 'revision': {'old': 60116125, 'new': 61148352}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': 'História', 'url': 'http://www.pnud.org.br/atlas/ranking/IDH-M%2091%2000%20Ranking%20decrescente%20(pelos%20dados%20de%202000).htm'})
('Santana do Garambéu', 1621010418, 'http://www.ibge.gov.br/home/estatistica/economia/pibmunicipios/2004_2008/', 60116125, 61148352, 0, 'História', 'Gabriel Ângelo de Oliveira', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Santana_do_Garamb%C3%A9u', 'request_id': '4d31d7a0-aae8-46e9-a3d3-5874acbb3784', 'id': '5c3a73c0-58b9-4bf8-afc8-eabd743678e0', 'dt': '2021-05-14T16:40:18Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180743354}, 'id': 105725066, 'type': 'edit', 'namespace': 0, 'title': 'Santana do Garambéu', 'comment': 'História', 'timestamp': 1621010418, 'user': 'Gabriel Ângelo de Oliveira', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 5485, 'new': 7676}, 'revision': {'old': 60116125, 'new': 61148352}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': 'História', 'url': 'http://www.ibge.gov.br/home/estatistica/economia/pibmunicipios/2004_2008/'})
('Santana do Garambéu', 1621010418, 'http://www.santanadogarambeu.mg.gov.br', 60116125, 61148352, 0, 'História', 'Gabriel Ângelo de Oliveira', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Santana_do_Garamb%C3%A9u', 'request_id': '4d31d7a0-aae8-46e9-a3d3-5874acbb3784', 'id': '5c3a73c0-58b9-4bf8-afc8-eabd743678e0', 'dt': '2021-05-14T16:40:18Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180743354}, 'id': 105725066, 'type': 'edit', 'namespace': 0, 'title': 'Santana do Garambéu', 'comment': 'História', 'timestamp': 1621010418, 'user': 'Gabriel Ângelo de Oliveira', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 5485, 'new': 7676}, 'revision': {'old': 60116125, 'new': 61148352}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': 'História', 'url': 'http://www.santanadogarambeu.mg.gov.br'})
('Santana do Garambéu', 1621010418, 'http://www.santanadogarambeu.cam.mg.gov.br', 60116125, 61148352, 0, 'História', 'Gabriel Ângelo de Oliveira', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Santana_do_Garamb%C3%A9u', 'request_id': '4d31d7a0-aae8-46e9-a3d3-5874acbb3784', 'id': '5c3a73c0-58b9-4bf8-afc8-eabd743678e0', 'dt': '2021-05-14T16:40:18Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180743354}, 'id': 105725066, 'type': 'edit', 'namespace': 0, 'title': 'Santana do Garambéu', 'comment': 'História', 'timestamp': 1621010418, 'user': 'Gabriel Ângelo de Oliveira', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 5485, 'new': 7676}, 'revision': {'old': 60116125, 'new': 61148352}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': 'História', 'url': 'http://www.santanadogarambeu.cam.mg.gov.br'})
('Ternium Brasil', 1621010465, 'https://www.dw.com/pt-br/not%C3%ADcias/s-7111', 61148343, 61148355, 0, '/* Venda e Mudança do Nome */', 'Bernardo.fm', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Ternium_Brasil', 'request_id': '0a74df29-e065-4aec-81c7-394db68dc540', 'id': '3bf404d0-6155-431d-8d39-7a946b34f498', 'dt': '2021-05-14T16:41:05Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180744778}, 'id': 105725073, 'type': 'edit', 'namespace': 0, 'title': 'Ternium Brasil', 'comment': '/* Venda e Mudança do Nome */', 'timestamp': 1621010465, 'user': 'Bernardo.fm', 'bot': False, 'minor': True, 'patrolled': False, 'length': {'old': 11650, 'new': 11642}, 'revision': {'old': 61148343, 'new': 61148355}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '<span dir="auto"><span class="autocomment"><a href="/wiki/Ternium_Brasil#Venda_e_Mudança_do_Nome" title="Ternium Brasil">→\u200eVenda e Mudança do Nome</a></span></span>', 'url': 'https://www.dw.com/pt-br/not%C3%ADcias/s-7111'})
('Ternium Brasil', 1621010465, 'https://diplomatique.org.br/a-realidade-por-tras-da-ternium-brasil/', 61148343, 61148355, 0, '/* Venda e Mudança do Nome */', 'Bernardo.fm', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Ternium_Brasil', 'request_id': '0a74df29-e065-4aec-81c7-394db68dc540', 'id': '3bf404d0-6155-431d-8d39-7a946b34f498', 'dt': '2021-05-14T16:41:05Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180744778}, 'id': 105725073, 'type': 'edit', 'namespace': 0, 'title': 'Ternium Brasil', 'comment': '/* Venda e Mudança do Nome */', 'timestamp': 1621010465, 'user': 'Bernardo.fm', 'bot': False, 'minor': True, 'patrolled': False, 'length': {'old': 11650, 'new': 11642}, 'revision': {'old': 61148343, 'new': 61148355}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '<span dir="auto"><span class="autocomment"><a href="/wiki/Ternium_Brasil#Venda_e_Mudança_do_Nome" title="Ternium Brasil">→\u200eVenda e Mudança do Nome</a></span></span>', 'url': 'https://diplomatique.org.br/a-realidade-por-tras-da-ternium-brasil/'})
('Copa do Mundo de Futebol Feminino de 2019', 1621010481, 'https://globoesporte.globo.com/futebol/copa-do-mundo-feminina/jogo/07-07-2019/estados-unidos-holanda.ghtml|título=É', 61148341, 61148357, 0, '', 'Bruno Goes da Cunha', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Copa_do_Mundo_de_Futebol_Feminino_de_2019', 'request_id': '9947f415-737a-4531-88b6-09c8f76b9a5b', 'id': '752b419d-7ebc-4ebf-98c0-7844d640d40e', 'dt': '2021-05-14T16:41:21Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180745462}, 'id': 105725076, 'type': 'edit', 'namespace': 0, 'title': 'Copa do Mundo de Futebol Feminino de 2019', 'comment': '', 'timestamp': 1621010481, 'user': 'Bruno Goes da Cunha', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 78381, 'new': 78310}, 'revision': {'old': 61148341, 'new': 61148357}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'https://globoesporte.globo.com/futebol/copa-do-mundo-feminina/jogo/07-07-2019/estados-unidos-holanda.ghtml|título=É'})
('Copa do Mundo de Futebol Feminino de 2019', 1621010481, 'https://esporte.uol.com.br/futebol/ultimas-noticias/2019/06/11/americanas-fazem-13-na-tailandia-na-maior-goleada-da-historia-das-copas.htm|título=Americanas', 61148341, 61148357, 0, '', 'Bruno Goes da Cunha', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Copa_do_Mundo_de_Futebol_Feminino_de_2019', 'request_id': '9947f415-737a-4531-88b6-09c8f76b9a5b', 'id': '752b419d-7ebc-4ebf-98c0-7844d640d40e', 'dt': '2021-05-14T16:41:21Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180745462}, 'id': 105725076, 'type': 'edit', 'namespace': 0, 'title': 'Copa do Mundo de Futebol Feminino de 2019', 'comment': '', 'timestamp': 1621010481, 'user': 'Bruno Goes da Cunha', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 78381, 'new': 78310}, 'revision': {'old': 61148341, 'new': 61148357}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'https://esporte.uol.com.br/futebol/ultimas-noticias/2019/06/11/americanas-fazem-13-na-tailandia-na-maior-goleada-da-historia-das-copas.htm|título=Americanas'})
('Belaventura', 1621010502, 'https://portalaltadefinicao.com/record-tv-altera-calendario-de-novelas-e-reestreia-prova-de-amor-primeiro/', 61131928, 61148365, 0, '', 'Victor cherney', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Belaventura', 'request_id': '9ab8ca98-836b-4ef2-b445-7f8d26a83512', 'id': '71822271-ef0d-4645-9e8a-fafa2306793b', 'dt': '2021-05-14T16:41:42Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180746008}, 'id': 105725083, 'type': 'edit', 'namespace': 0, 'title': 'Belaventura', 'comment': '', 'timestamp': 1621010502, 'user': 'Victor cherney', 'bot': False, 'minor': True, 'patrolled': False, 'length': {'old': 55222, 'new': 55244}, 'revision': {'old': 61131928, 'new': 61148365}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': '', 'url': 'https://portalaltadefinicao.com/record-tv-altera-calendario-de-novelas-e-reestreia-prova-de-amor-primeiro/'})
('Midway Mall', 1621010507, 'http://www.blogdocallcenter.com/news/midway-retira-call-center-das-lojas-riachuelo-para-ganhar-mais-500-vagas-de-estacionamento/', 61040929, 61148368, 0, 'Acrescentei algumas pausas necessárias através de vírgulas e travessões.', 'Raphaela M Monteiro', {'$schema': '/mediawiki/recentchange/1.0.0', 'meta': {'uri': 'https://pt.wikipedia.org/wiki/Midway_Mall', 'request_id': '960157c4-513d-4e9f-a6a6-c22b617969b5', 'id': 'a96a6382-a79f-498c-9c85-5f70e3156091', 'dt': '2021-05-14T16:41:47Z', 'domain': 'pt.wikipedia.org', 'stream': 'mediawiki.recentchange', 'topic': 'eqiad.mediawiki.recentchange', 'partition': 0, 'offset': 3180746221}, 'id': 105725087, 'type': 'edit', 'namespace': 0, 'title': 'Midway Mall', 'comment': 'Acrescentei algumas pausas necessárias através de vírgulas e travessões.', 'timestamp': 1621010507, 'user': 'Raphaela M Monteiro', 'bot': False, 'minor': False, 'patrolled': False, 'length': {'old': 6589, 'new': 6584}, 'revision': {'old': 61040929, 'new': 61148368}, 'server_url': 'https://pt.wikipedia.org', 'server_name': 'pt.wikipedia.org', 'server_script_path': '/w', 'wiki': 'ptwiki', 'parsedcomment': 'Acrescentei algumas pausas necessárias através de vírgulas e travessões.', 'url': 'http://www.blogdocallcenter.com/news/midway-retira-call-center-das-lojas-riachuelo-para-ganhar-mais-500-vagas-de-estacionamento/'})
